SUB_DISTRICT,TYPE,STATE,CENSUS_CODE_2001,NAME,DISTRICT
Kapadvanj,Village,Gujarat,2416000101082200,Vyas Vasna,Kheda
Santrampur,Village,Gujarat,2417000301176400,Nanirel (West),Panch Mahals
Lunawada,Village,Gujarat,2417000401186000,Morai,Panch Mahals
Lunawada,Village,Gujarat,2417000401190600,Vanta,Panch Mahals
Lunawada,Village,Gujarat,2417000401193400,Pankhi,Panch Mahals
Abdasa,Village,Gujarat,2401000700076300,Varadiya,Kachchh
Mandvi,Village,Gujarat,2401000800079200,Traya,Kachchh
Bhuj,Village,Gujarat,2401000500047600,Sarli,Kachchh
Lunawada,Village,Gujarat,2417000401186100,Kidia,Panch Mahals
Abdasa,Village,Gujarat,2401000700077600,Saleman Vandh,Kachchh
Lunawada,Village,Gujarat,2417000401193300,Moti Charel,Panch Mahals
Kadi,Village,Gujarat,2404000900331600,Khanderavpura,Mahesana
Santrampur,Village,Gujarat,2417000301177200,Nani Bhugedi,Panch Mahals
Viramgam,Village,Gujarat,2407000300511900,Thori Vadgas,Ahmadabad
Gandhinagar,Village,Gujarat,2406000300489700,Bhat,Gandhinagar
Lunawada,Village,Gujarat,2417000401186800,Daniya,Panch Mahals
Lunawada,Village,Gujarat,2417000401193600,Jesingpur,Panch Mahals
Lunawada,Village,Gujarat,2417000401185800,Mochivadiya,Panch Mahals
Anjar,Village,Gujarat,2401000400030400,Nagalpar Nani,Kachchh
Santrampur,Village,Gujarat,2417000301175800,Vena,Panch Mahals
Abdasa,Village,Gujarat,2401000700076400,Sanyara,Kachchh
Daskroi,Village,Gujarat,2407000600523200,Jagatpur,Ahmadabad
Lunawada,Village,Gujarat,2417000401190800,Kakachiya,Panch Mahals
Dasada,Village,Gujarat,2408000300574500,Nani Majethi,Surendranagar
Dhrangadhra,Village,Gujarat,2408000200562700,Jasmatpur,Surendranagar
Halvad,Village,Gujarat,2408000100556900,Ghanad,Surendranagar
Jhalod,Village,Gujarat,2418000201273600,Rampura,Dohad
Maliya,Village,Gujarat,2409000100623300,Khakhrechi,Rajkot
Dehgam,Village,Gujarat,2406000400496700,Zak,Gandhinagar
Jhalod,Village,Gujarat,2418000201273100,Kaliya Talav,Dohad
Halvad,Village,Gujarat,2408000100555900,Chadadhra,Surendranagar
Bhuj,Village,Gujarat,2401000500047500,Zizu  Timbo,Kachchh
Anjar,Village,Gujarat,2401000400030700,Hamirpar,Kachchh
Lunawada,Village,Gujarat,2417000401186500,Hanseliya,Panch Mahals
Santrampur,Village,Gujarat,2417000301177100,Moti Bhugedi,Panch Mahals
Bhuj,Village,Gujarat,2401000500048500,Varli,Kachchh
Mandvi,Village,Gujarat,2401000800080100,Ludva,Kachchh
Kapadvanj,Village,Gujarat,2416000101082300,Dandiyapur,Kheda
Lunawada,Village,Gujarat,2417000401186600,Bhalada,Panch Mahals
Gandhinagar,Village,Gujarat,2406000300489600,Koteshwar,Gandhinagar
Lunawada,Village,Gujarat,2417000401190700,Pagiyawad,Panch Mahals
Gandhinagar,Town,Gujarat,2406000340608000,Motera,Gandhinagar
Santrampur,Village,Gujarat,2417000301176700,Babri,Panch Mahals
Bhuj,Village,Gujarat,2401000500048800,Bandhara Mota,Kachchh
Jhalod,Village,Gujarat,2418000201276300,Lavara,Dohad
Lunawada,Village,Gujarat,2417000401191100,Ved,Panch Mahals
Santrampur,Village,Gujarat,2417000301176500,Doli,Panch Mahals
Jhalod,Village,Gujarat,2418000201273700,Raypura,Dohad
Santrampur,Village,Gujarat,2417000301175900,Ora,Panch Mahals
Jhalod,Village,Gujarat,2418000201274000,Chitrodiya,Dohad
Bayad,Village,Gujarat,2405001300470700,Munjina Muvada,Sabar Kantha
Viramgam,Village,Gujarat,2407000300513300,Jakhwada,Ahmadabad
Lunawada,Village,Gujarat,2417000401193500,Nani Charel,Panch Mahals
Mandvi,Village,Gujarat,2401000800080500,Mau Nani,Kachchh
Lunawada,Village,Gujarat,2417000401185500,Khempur,Panch Mahals
Dehgam,Village,Gujarat,2406000400497000,Jivajini Muvadi,Gandhinagar
Abdasa,Village,Gujarat,2401000700077900,Daha,Kachchh
Abdasa,Village,Gujarat,2401000700073800,Sindhodi Nani,Kachchh
Lunawada,Village,Gujarat,2417000401194400,Ghantav-1,Panch Mahals
Dehgam,Village,Gujarat,2406000400497500,Isanpur Dodiya,Gandhinagar
Daskroi,Village,Gujarat,2407000600523700,Enasan,Ahmadabad
Abdasa,Village,Gujarat,2401000700077500,Meru Vandh,Kachchh
Ahmadabad City,Town,Gujarat,2407000540703000,Kali,Ahmadabad
Santrampur,Village,Gujarat,2417000301176600,Gadiya,Panch Mahals
Dehgam,Village,Gujarat,2406000400496900,Harsoli,Gandhinagar
Bayad,Village,Gujarat,2405001300470800,Zankhariya,Sabar Kantha
Dehgam,Village,Gujarat,2406000400496800,Kadadara,Gandhinagar
Lunawada,Village,Gujarat,2417000401194500,Chopda,Panch Mahals
Kalol,Village,Gujarat,2406000100477200,Vayana,Gandhinagar
Bhuj,Village,Gujarat,2401000500047700,Dahinsara,Kachchh
Daskroi,Town,Gujarat,2407000640705000,Ranip (M+OG) (Part),Ahmadabad
Santrampur,Village,Gujarat,2417000301177300,Sagan Faliya,Panch Mahals
Jhalod,Village,Gujarat,2418000201273900,Jafarpura,Dohad
Viramgam,Village,Gujarat,2407000300512800,Sokali,Ahmadabad
Dhrangadhra,Village,Gujarat,2408000200562300,Sajjanpur,Surendranagar
Dasada,Village,Gujarat,2408000300574700,Malvan,Surendranagar
Daskroi,Town,Gujarat,2407000640714000,Gota,Ahmadabad
Morwa (hadaf),Village,Gujarat,2417000601211300,Vaneda,Panch Mahals
Kapadvanj,Village,Gujarat,2416000101083400,Ghauva,Kheda
Sanand,Village,Gujarat,2407000400516500,Anadej,Ahmadabad
Dehgam,Village,Gujarat,2406000400497400,Hathijan,Gandhinagar
Lunawada,Village,Gujarat,2417000401193200,Dokaliyani Muvadi,Panch Mahals
Halvad,Village,Gujarat,2408000100556000,Dhulkot,Surendranagar
Abdasa,Village,Gujarat,2401000700078000,Boha,Kachchh
Viramgam,Village,Gujarat,2407000300511800,Vadgas,Ahmadabad
Maliya,Village,Gujarat,2409000100620900,Vejalpar,Rajkot
Ahmadabad City,Town,Gujarat,2407000540710000,Ahmedabad,Ahmadabad
Lunawada,Village,Gujarat,2417000401191000,Jitpur,Panch Mahals
Lunawada,Village,Gujarat,2417000401191300,Lakdi Poyda,Panch Mahals
Halvad,Village,Gujarat,2408000100556800,Isanpur,Surendranagar
Viramgam,Village,Gujarat,2407000300513400,Sachana,Ahmadabad
Bhuj,Village,Gujarat,2401000500049100,Kera,Kachchh
Mandvi,Village,Gujarat,2401000800082600,Vekra,Kachchh
Abdasa,Village,Gujarat,2401000700078100,Reladiya Manjal,Kachchh
Anjar,Village,Gujarat,2401000400030900,Lohariya Mota,Kachchh
Bhuj,Village,Gujarat,2401000500048700,Chakar,Kachchh
Bhuj,Village,Gujarat,2401000500048900,Vadzar,Kachchh
Jhalod,Village,Gujarat,2418000201274300,Jetpur,Dohad
Balasinor,Village,Gujarat,2416000301094400,Dhanela,Kheda
Bhuj,Village,Gujarat,2401000500048600,Bandhara Nana,Kachchh
Lunawada,Village,Gujarat,2417000401197100,Nava Muvada,Panch Mahals
Anjar,Village,Gujarat,2401000400031600,Pantiya,Kachchh
Dhrangadhra,Village,Gujarat,2408000200562100,Bharada,Surendranagar
Balasinor,Village,Gujarat,2416000301094700,parabiya,Kheda
Dasada,Village,Gujarat,2408000300575200,Kacholiya,Surendranagar
Lunawada,Village,Gujarat,2417000401193100,Ambli Muvada,Panch Mahals
